id,type,articul,name,published,recommended?,visibility,short-description,description,discount-start-date,discount-end-date,tax-status,tax-class,stock?,reserves,amount-small-stocks,possible-pre-order?,sold-individually?,weight,length,width,height,allow-reviews-customers?,purchase-note,promotion-price,base-price,categories,tags,shipping-class,images,download-limit,days-loading-time,parental,grouped-products,upseil,crossels,url,button-text,position
31,simple,415,Ями,1,0,visible,"Рис, лосось, сливочный сыр, огурец, сырная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,290,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-syrnaya-scaled-1.jpg,,,,,,,,,0
32,simple,414,Чикен-Краб,1,0,visible,"Рис, копченная курица, сливочный сыр , огурец , крабовая шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-krabovaya.jpg,,,,,,,,,0
33,simple,413,"Чесночный буррито",1,0,visible,"Сырная лепешка ,рис, копченная курица, сливочный сыр , огурец , чесночная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,260,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-chesnochnaya-scaled-1.jpg,,,,,,,,,0
34,simple,412,Хрустик,1,0,visible,"Рис, огурец, крабовая шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,160,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-krabovaya.jpg,,,,,,,,,0
35,simple,411,Халапеньо,1,0,visible,"Рис,лосось, острый перец халапеньо, сливочный сыр, огурец , сырная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,270,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-syrnaya-scaled-1.jpg,,,,,,,,,0
36,simple,410,Унаги,1,0,visible,"Рис,жаренный угорь, сливочный сыр , огурец, сырная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,350,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-syrnaya-scaled-1.jpg,,,,,,,,,0
37,simple,409,Сырный-сырный,1,0,visible,"Рис,омлет, сливочный сыр, огурец, сырная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-syrnaya-scaled-1.jpg,,,,,,,,,0
38,simple,416,"Печёная рыбка",1,0,visible,"Рис, сливочный сыр, печенный лосось, печёная тилапия, сырная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/otkrytyj-syrnaya-scaled-1.jpg,,,,,,,,,0
39,simple,408,Паблос,1,0,visible,"Рис, копченная курица, сливочный сыр , огурец , чесночная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-chesnochnaya-scaled-1.jpg,,,,,,,,,0
40,simple,407,"Мясная душа",1,0,visible,"Рис, копченная курица ,бекон, сливочный сыр , огурец ,плавленый сыр (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/bolshe-myasa-scaled-1.jpg,,,,,,,,,0
41,simple,406,"Луковый буррито",1,0,visible,"Сырная лепешка ,рис, копченная курица, сливочный сыр , лук-фри , сырная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/otkrytyj-syrnaya-scaled-1.jpg,,,,,,,,,0
42,simple,405,Лука,1,0,visible,"Рис, лосось, сливочный сыр, огурец, крабовая шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-krabovaya.jpg,,,,,,,,,0
43,simple,404,Кристи,1,0,visible,"Рис, креветка, сливочный сыр, омлет, чесночная шапочка (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,350,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-chesnochnaya-scaled-1.jpg,,,,,,,,,0
44,simple,403,Карамба,1,0,visible,"Рис, сливочный сыр, омлет, крабовая шапочка (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,210,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-krabovaya.jpg,,,,,,,,,0
45,simple,402,"Запечённый буррито",1,0,visible,"Сырная лепешка , копченная курица, сливочный сыр, огурец , сырная шапочка (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,220,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-syrnaya-scaled-1.jpg,,,,,,,,,0
46,simple,401,Донбекон,1,0,visible,"Рис, бекон, сливочный сыр, огурец, сырная шапочка",,,,taxable,,1,,,0,0,,,,,1,,,220,"Запечённые роллы",,,https://susi.pizza/wp-content/uploads/2022/05/zakrytyj-syrnaya-scaled-1.jpg,,,,,,,,,0
