id,type,articul,name,published,recommended?,visibility,short-description,description,discount-start-date,discount-end-date,tax-status,tax-class,stock?,reserves,amount-small-stocks,possible-pre-order?,sold-individually?,weight,length,width,height,allow-reviews-customers?,purchase-note,promotion-price,base-price,categories,tags,shipping-class,images,download-limit,days-loading-time,parental,grouped-products,upseil,crossels,url,button-text,position
213,simple,710,Школьная,1,0,visible,"Копченная курица, ветчина, маринованный огурец, соус Тар-тар, сыр",,,,taxable,,1,,,0,0,,,,,1,,,510,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/imgonline-com-ua-resize-1i3uyjgbo8pjlrkd_optimized_optimized.png,,,,,,,,,0
214,simple,717,"Четыре сезона",1,0,visible,"Пепперони, ветчина, копченная курица, маринованный огурец, соус BBQ, ветчина. опята. соус тысяча островов, охотничьи колбаски, грибы, томатный соус. сыр",,,,taxable,,1,,,0,0,,,,,1,,,480,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/4-sezona_optimized.png,,,,,,,,,0
215,simple,713,Тар-тар,1,0,visible,,"Бекон, копченная курица, шампиньоны, маринованный лук. соус Тар-Тар, сыр",,,taxable,,1,,,0,0,,,,,1,,,510,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/tar-tar_optimized.png,,,,,,,,,0
216,simple,704,"Та самая",1,0,visible,"Бекон, ветчина. маринованный лук. маринованный огурец. томатный соус. сыр",,,,taxable,,1,,,0,0,,,,,1,,,440,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/ta-samaya_optimized.png,,,,,,,,,0
223,simple,702,Средне-Острая,1,0,visible,"Охотничьи колбаски. ветчина. болгарский перец. острый перец Халапеньо. острый соус Кимчи. томатный соус. сыр",,,,taxable,,1,,,0,0,,,,,1,,,440,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/sredne-ostraya_optimized.png,,,,,,,,,0
224,simple,711,Спортивная,1,0,visible,"Пепперони. шампьньены. помидоры. томатный соус. сыр",,,,taxable,,1,,,0,0,,,,,1,,,440,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/sportivnaya_optimized.png,,,,,,,,,0
225,simple,701,Популярная,1,0,visible,"Ветчина. копченная курица, маринованный огурец , томатный соус. сыр",,,,taxable,,1,,,0,0,,,,,1,,,440,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/populyarnaya_optimized.png,,,,,,,,,0
226,simple,716,Пепперони,1,0,visible,"Пепперони, томатный соус. сыр",,,,taxable,,1,,,0,0,,,,,1,,,430,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/pepperoni_optimized.png,,,,,,,,,0
227,simple,708,"Острое мясо",1,0,visible,"Ветчина, пепперони, острый перец халапеньо. томатный соус, сыр",,,,taxable,,1,,,0,0,,,,,1,,,440,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/ostroe-myaso_optimized.png,,,,,,,,,0
228,simple,706,Мясная,1,0,visible,"Салями, ветчина, охотничьи колбаски, помидоры, томатный соус, сыр",,,,taxable,,1,,,0,0,,,,,1,,,520,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/masnaya_optimized.png,,,,,,,,,0
234,simple,715,Морская,1,0,visible,"Лосось. соус Тар-тар, сыр",,,,taxable,,1,,,0,0,,,,,1,,,560,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/morskaya_optimized.png,,,,,,,,,0
235,simple,707,"Много мяса",1,0,visible,"Салями, ветчина, пепперони , охотничьи колбаски, шампиньоны, томатный соус, сыр",,,,taxable,,1,,,0,0,,,,,1,,,460,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/mnogo-myasa_optimized.png,,,,,,,,,0
236,simple,703,Маргарита,1,0,visible,"Помидоры. томатный соус. Сыр",,,,taxable,,1,,,0,0,,,,,1,,,410,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/margarita_optimized.png,,,,,,,,,0
237,simple,718,"Двойной бекон",1,0,visible,"Бекон. помидор. шампьньоны. соус Тар-тар, сыр",,,,taxable,,1,,,0,0,,,,,1,,,450,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/dvojnoj-bekon_optimized.png,,,,,,,,,0
238,simple,720,Гавайи,1,0,visible,"Копченная курица, ветчина, ананас, томатный соус,сыр",,,,taxable,,1,,,0,0,,,,,1,,,510,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/gavaji.png,,,,,,,,,0
247,simple,719,Вегетарианская,1,0,visible,"Помидор. грибы. болгарский перец. маслины. томатный соус. сыр",,,,taxable,,1,,,0,0,,,,,1,,,430,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/vegetarianskaya_optimized.png,,,,,,,,,0
248,simple,709,Болгарская,1,0,visible,"Копченная курица. ветчина. болгарский перец. маринованный лук, соус Тар-тар. сыр",,,,taxable,,1,,,0,0,,,,,1,,,520,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/bolgarskaya_optimized.png,,,,,,,,,0
249,simple,714,Ассорти,1,0,visible,"Охотничьи колбаски. ветчина. маринованный лук. болгарский перец. томатный соус. сыр",,,,taxable,,1,,,0,0,,,,,1,,,510,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/assarti_optimized.png,,,,,,,,,0
250,simple,712,Барбекю,1,0,visible,"Ветчина. охотничьи колбаски, маринованный огурец. соус BBQ . томатный соус, сыр",,,,taxable,,1,,,0,0,,,,,1,,,460,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/barbekyu_optimized.png,,,,,,,,,0
251,simple,705,"1000 островов",1,0,visible,"Копченная курица. грибы, маринованные огурец, соус тысяча островов. томатный соус, сыр",,,,taxable,,1,,,0,0,,,,,1,,,460,Пицца,,,https://susi.pizza/wp-content/uploads/2022/05/1000_optimized.png,,,,,,,,,0
