id,type,articul,name,published,recommended?,visibility,short-description,description,discount-start-date,discount-end-date,tax-status,tax-class,stock?,reserves,amount-small-stocks,possible-pre-order?,sold-individually?,weight,length,width,height,allow-reviews-customers?,purchase-note,promotion-price,base-price,categories,tags,shipping-class,images,download-limit,days-loading-time,parental,grouped-products,upseil,crossels,url,button-text,position
47,simple,244,Чиполлино,1,0,visible,"Рис, копченная курица , сливочный сыр , огурец , лук-фри (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,210,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/chipollino-scaled-1.jpg,,,,,,,,,0
48,simple,243,"Хрустящий лосось",1,0,visible,"Рис, печёный лосось, сливочный сыр, огурец, лук-фри (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,240,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/hrustyashhij-losos-scaled-1.jpg,,,,,,,,,0
49,simple,242,"Хосомаки чука",1,0,visible,"Рис, водросли чука, соус Ореховый (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,130,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-chuka-scaled-1.jpg,,,,,,,,,0
60,simple,240,"Хосомаки тунец",1,0,visible,"Рис, тунец (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,170,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-tunecz-scaled-1.jpg,,,,,,,,,0
61,simple,239,"Хосомаки Такуан",1,0,visible,"Рис, такуан (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,90,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-takuan-scaled-1.jpg,,,,,,,,,0
62,simple,238,"Хосомаки лосось",1,0,visible,"Рис, лосось (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,170,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-losos-scaled-1.jpg,,,,,,,,,0
63,simple,237,"Хосомаки креветка",1,0,visible,"Рис, креветка ( 8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,280,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-krevetka-scaled-1.jpg,,,,,,,,,0
64,simple,236,Фудзияма,1,0,visible,"Рис, лосось, сливочный сыр, огурец, икра-масаго (8 шт)",,,,taxable,,1,,,0,0,,,,,1,,,290,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/fudziyama-scaled-1.jpg,,,,,,,,,0
65,simple,235,Флори,1,0,visible,"Рис, печёный тилапия, сливочный сыр, огурец, икра-масаго (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,270,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/flori-scaled-1.jpg,,,,,,,,,0
66,simple,234,"Филка вип",1,0,visible,"Рис,лосось,сливочный сыр, икра лосося (9 шт)",,,,taxable,,1,,,0,0,,,,,1,,,550,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/filka-vip-scaled-1.jpg,,,,,,,,,0
67,simple,233,Филка,1,0,visible,"Рис, лосось , огурец, сливочный сыр (9шт)",,,,taxable,,1,,,0,0,,,,,1,,,450,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/filka-scaled-1.jpg,,,,,,,,,0
68,simple,232,Туна,1,0,visible,"Рис, тунец , сливочный сыр, огурец, икра-масаго (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,290,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/tuna-scaled-1.jpg,,,,,,,,,0
69,simple,231,Тинки-Винки,1,0,visible,"Рис, бекон, сливочный сыр, огурец, сырная шапочка (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,290,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/tinki-vinki-scaled-1.jpg,,,,,,,,,0
77,simple,230,Такуна,1,0,visible,"Рис, масляная х/к, сливочный сыр, огурец, икра-масаго (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,220,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/takuna-scaled-1.jpg,,,,,,,,,0
78,simple,229,"Сливочная курочка",1,0,visible,"Рис, лосось,сливочный сыр, такуан (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/slivochnaya-kurochka-scaled-1.jpg,,,,,,,,,0
79,simple,228,"Салат Чука",1,0,visible,"Салат Чука",,,,taxable,,1,,,0,0,,,,,1,,,120,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/¦b¦-¦¬¦-tv-¦ztg¦¦¦-120_optimized.jpg,,,,,,,,,0
80,simple,227,Рыбонька,1,0,visible,"Рис,сливочный сыр, копч.курица , марин.огурец , икра-масаго (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,220,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/rybonka-scaled-1.jpg,,,,,,,,,0
81,simple,226,Остряк,1,0,visible,"Рис, лосось , огурец, сливочный сыр, икра-масаго, острый соус Кимчи (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/ostryak-scaled-1.jpg,,,,,,,,,0
82,simple,225,"Острая рыбка",1,0,visible,"Рис, лосось, тунец, сливочный сыр, острый соус Кимчи (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,270,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/ostraya-rybka-scaled-1.jpg,,,,,,,,,0
83,simple,224,Оригами,1,0,visible,"Рис, лосось, омлет, сливочный сыр, икра-масаго (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,280,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/origami-scaled-1.jpg,,,,,,,,,0
84,simple,223,Мясной,1,0,visible,"Рис,бекон, сливочный сыр , огурец (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/myasnoj-scaled-1.jpg,,,,,,,,,0
85,simple,221,Морской,1,0,visible,"Рис, сливочный сыр, лосось, угорь, огурец, соус Унаги, кунжут (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,450,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/morskoj-scaled-1.jpg,,,,,,,,,0
86,simple,220,Матата,1,0,visible,"Рис,лосось,сливочный сыр, омлет, крабовый крем. (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,260,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/matata-scaled-1.jpg,,,,,,,,,0
87,simple,219,"Манила лосось",1,0,visible,"Рис, лосось , сливочный сыр, омлет (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,220,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/manila-losos-scaled-1.jpg,,,,,,,,,0
88,simple,218,"Манила креветка",1,0,visible,"Рис,креветка, сливочный сыр, омлет (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,290,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/manila-krevetka-scaled-1.jpg,,,,,,,,,0
89,simple,217,Лёгкий,1,0,visible,"Рис,омлет, сливочный сыр, икра-масаго (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,190,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/lyogkij-scaled-1.jpg,,,,,,,,,0
90,simple,216,Каппа,1,0,visible,"Рис, огурец (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,80,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/kappa-scaled-1.jpg,,,,,,,,,0
91,simple,215,морской,1,0,visible,"Рис, лосось , огурец, сливочный сыр, угорь, соус Унаги, кунжут (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,450,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/kanada-scaled-1.jpg,,,,,,,,,0
92,simple,214,"Калифорния лосось",1,0,visible,"Рис,лосось, омлет , огурец, икра-масаго (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,270,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/kaliforniya-losos-scaled-1.jpg,,,,,,,,,0
93,simple,213,"Калифорния креветка",1,0,visible,"Рис, креветка, омлет, огурец, икра-масаго (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,300,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/kaliforniya-krevetka-scaled-1.jpg,,,,,,,,,0
94,simple,212,Икорка,1,0,visible,"Рис, сливочный сыр,икра лосося, огурец (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,290,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/ikorka-scaled-1.jpg,,,,,,,,,0
100,simple,210,"Буррито Фиш",1,0,visible,"Сырная лепешка, сливочный сыр, масляная, х/к, огурец (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,270,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/burrito-fish-scaled-1.jpg,,,,,,,,,0
101,simple,209,"Буррито со свежим огурцом",1,0,visible,"Сырная лепешка, сливочный сыр, копченая курица, марин.огурец, помидор (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,190,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/burrito-scaled-1.jpg,,,,,,,,,0
102,simple,207,Бонито,1,0,visible,"Рис, сливочный сыр, печёный лосось, огурец, стружка Тунца (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,290,Роллы,,,https://susi.pizza/wp-content/uploads/2022/05/bonito-scaled-1.jpg,,,,,,,,,0
