id,type,articul,name,published,recommended?,visibility,short-description,description,discount-start-date,discount-end-date,tax-status,tax-class,stock?,reserves,amount-small-stocks,possible-pre-order?,sold-individually?,weight,length,width,height,allow-reviews-customers?,purchase-note,promotion-price,base-price,categories,tags,shipping-class,images,download-limit,days-loading-time,parental,grouped-products,upseil,crossels,url,button-text,position
139,simple,317,"Филка Темпура",1,0,visible,"Рис, лосось, сливочный сыр, огурец, кляр, сухари-панко (9шт)",,,,taxable,,1,,,0,0,,,,,1,,,470,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-tempura-scaled-1.jpg,,,,,,,,,0
140,simple,316,"Темпура Угорь",1,0,visible,"Рис, жаренный угорь, сливочный сыр, огурец, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,350,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-ugor-scaled-1.jpg,,,,,,,,,0
141,simple,315,"Темпура Такуан",1,0,visible,"Рис, копченая курица, сливочный сыр, такуан, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,220,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-takuan-scaled-1.jpg,,,,,,,,,0
142,simple,314,"Темпура Лосось",1,0,visible,"Рис, лосось, сливочный сыр, огурец, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,250,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-losos-scaled-1.jpg,,,,,,,,,0
149,simple,313,"Темпура Кура",1,0,visible,"Рис, копченная курица, сливочный сыр, огурец, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,190,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-kura-scaled-1.jpg,,,,,,,,,0
150,simple,311,"Темпура Крабик",1,0,visible,"Рис, крабовый крем, сливочный сыр, огурец, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,220,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-krabik-scaled-1.jpg,,,,,,,,,0
151,simple,310,"Темпура Комбо",1,0,visible,"Сырная лепешка, рис, копченная курица, сливочный сыр, огурец, плавленный сыр, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,260,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-kombo-scaled-1.jpg,,,,,,,,,0
152,simple,309,"Темпура в шапочке",1,0,visible,"Рис, крабовый крем, сливочный сыр, омлет, кляр, сухари- панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,240,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-v-shapochke-scaled-1.jpg,,,,,,,,,0
153,simple,308,"Темпура буррито Эби",1,0,visible,"Сырная лепешка, креветка, лосось, сливочный сыр, огурец, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,330,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-burrito-ebi-scaled-1.jpg,,,,,,,,,0
154,simple,307,"Темпура буррито",1,0,visible,"Сырная лепешка, копченная курица, сливочный сыр, огурец, помидор, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,220,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-burrito-scaled-1.jpg,,,,,,,,,0
161,simple,306,"Темпура бекон",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,230,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/tempura-bekon-scaled-1.jpg,,,,,,,,,0
162,simple,305,"Таки Темпура",1,0,visible,"Рис, лосось, сливочный сыр, такуан, кляр, сухари-панко (8шт)",,,,taxable,,1,,,0,0,,,,,1,,,260,"Роллы Темпура",,,https://susi.pizza/wp-content/uploads/2022/05/taki-tempura-scaled-1.jpg,,,,,,,,,0
